Customer name,Customer relationship manager                                                 (Note that this is optional but must exactly match the display name of a user on the site if entered),Customer group ,Description of the customer
Tourism,Guest recreated,Tourism,A description of Tourism
#@$$^$#$,Guest recreated,South Africa,
#@$$^$#$%^%,Guest recreated,,Undefined description
South Africa,Guest recreated,South Africa,
Australia,Guest recreated,Australia,A description of Australia
International,Guest recreated,International,A description of International
Customer number 5,Guest recreated,%^%**^%$^%^  fgff,
Customer number 6,Guest recreated,%^%**^%$^%^  fgff,A description of Customer number 6
Customer number 7,Guest recreated,International,A description of Customer number 7
Customer number 8,Guest recreated,International,A description of Customer number 8
Customer number 9,Guest recreated,,A description of Customer number 9
Customer number 10,Guest recreated,International,A description of Customer number 10
Customer number 11,Guest recreated,International,
Customer number 12,Guest recreated,Australia,
Customer number 13,Guest recreated,Australia,
Customer number 14,Guest recreated,Australia,
Customer number 15,Guest recreated,Australia,
Customer number 16,Guest recreated,Australia,
Customer number 17,Guest recreated,International,
Customer number 18,Guest recreated,Australia,A description of Customer number 18
Customer number 19,Guest recreated,International,A description of Customer number 19
Customer number 20,First time created,Australia,A description of Customer number 20
Customer number 21,First time created,New Zealand,
Customer number 22,First time created,,A description of Customer number 22
Customer number 23,First time created,,A description of Customer number 23
Customer number 24,First time created,Australia,A description of Customer number 24
